#Predictions based on model below... 
#
# Call:
#   lm(formula = A2 ~ Year + Year2 + Year3, data = data.frame(A2 = table2$A2, 
#                                                             Year = table2$Year, Year2 = table2$Year * table2$Year, Year3 = (table2$Year)^3))
# 
# Residuals:
#   Min      1Q  Median      3Q     Max 
# -2.3504 -1.5337  0.1563  1.1378  2.9066 
# 
# Coefficients:
#   Estimate Std. Error t value Pr(>|t|)    
# (Intercept) -6.360e+05  8.778e+04  -7.246 2.77e-05 ***
#   Year         9.894e+02  1.295e+02   7.643 1.75e-05 ***
#   Year2       -5.131e-01  6.363e-02  -8.064 1.10e-05 ***
#   Year3        8.875e-05  1.042e-05   8.516 6.78e-06 ***
#   ---
#   Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
# 
# Residual standard error: 1.95 on 10 degrees of freedom
# Multiple R-squared:  0.9999,	Adjusted R-squared:  0.9999 
# F-statistic: 3.327e+04 on 3 and 10 DF,  p-value: < 2.2e-16
#


Year Month CO2
1998 4 364.647855226765
1998 5 364.806704533054
1998 6 364.965813512797
1998 7 365.125182473799
1998 8 365.284811724909
1998 9 365.444701574044
1998 10 365.604852329358
1998 11 365.765264299815
1998 12 365.92593779217
1999 1 366.086873114924
1999 2 366.248070576694
1999 3 366.409530485631
1999 4 366.571253149887
1999 5 366.733238877147
1999 6 366.895487976144
1999 7 367.058000754565
1999 8 367.220777521026
1999 9 367.383818583097
1999 10 367.547124249744
1999 11 367.710694828187
1999 12 367.874530627392
2000 1 368.038631954812
2000 2 368.202999119414
2000 3 368.367632428883
2000 4 368.53253219102
2000 5 368.697698714444
2000 6 368.863132307422
2000 7 369.028833278222
2000 8 369.19480193418
2000 9 369.361038584379
2000 10 369.527543536155
2000 11 369.694317098591
2000 12 369.861359578674
2001 1 370.028671286069
2001 2 370.196252527297
2001 3 370.364103611908
2001 4 370.53222484712
2001 5 370.700616541901
2001 6 370.869279003819
2001 7 371.038212540792
2001 8 371.207417461323
2001 9 371.376894074259
2001 10 371.546642686706
2001 11 371.716663607163
2001 12 371.886957144015
2002 1 372.057523604832
2002 2 372.228363298695
2002 3 372.399476532592
2002 4 372.570863615954
2002 5 372.742524856119
2002 6 372.914460561471
2002 7 373.086671039928
2002 8 373.259156600339
2002 9 373.431917550159
2002 10 373.604954197421
2002 11 373.778266850859
2002 12 373.951855818508
2003 1 374.125721408753
2003 2 374.299863928813
2003 3 374.47428368777
2003 4 374.648980993312
